id,symbol,current_price,market_cap,total_volume,last_updated
bitcoin,btc,8301739.0,164366111959525,11201816349024,2024-12-11T09:41:35.093Z
ethereum,eth,313361.0,37742892393330,4753637970705,2024-12-11T09:41:12.041Z
tether,usdt,84.84,11761449907137,7332634108791,2024-12-11T09:41:24.026Z
ripple,xrp,198.32,11330386328379,2247069205476,2024-12-11T09:41:23.703Z
solana,sol,18778.12,8950862052167,864949546734,2024-12-11T09:41:20.849Z
binancecoin,bnb,58185.0,8486410121889,211640236360,2024-12-11T09:41:33.340Z
dogecoin,doge,33.55,4937450586729,940831789825,2024-12-11T09:41:34.843Z
usd-coin,usdc,84.82,3467208210219,925137629308,2024-12-11T09:41:23.215Z
staked-ether,steth,313405.0,3084946108921,10204463842,2024-12-11T09:41:22.031Z
cardano,ada,85.87,3075331751575,267930034490,2024-12-11T09:41:07.851Z
